0,1,label
-9.853725,9.271464,A1
-9.526897,8.809966,2d
-3.6220098,9.537613,m82
14.724097,-9.968391,C
-17.074839,-8.8268585,P
5.394923,-4.341976,88
16.454882,-10.37126,C
-2.4483793,9.345586,A1
-1.0911504,-1.1796205,2d
-9.381571,9.381628,A1
-10.170009,9.727337,A1
15.935465,-7.7811437,88
16.166203,-11.806566,C
-13.019642,-10.103099,P
10.75793,-4.3033323,88
0.6602087,10.341001,m82
-9.60373,-5.663827,P
1.5347353,12.263961,m82
0.89206845,-2.677314,88
-7.0065017,8.813933,A1
16.404922,-8.273208,88
-4.508948,-1.4186461,2d
-9.158024,-6.1513014,P
-0.13914773,-0.8756916,88
0.5644733,15.381212,m82
-10.618394,-5.641829,P
16.571535,-11.8100605,C
-1.9261284,-1.7622784,2d
17.531132,-10.351108,A1
1.2534815,-1.384682,m82
-7.723021,-3.5323086,2d
-11.99996,-6.2498507,P
3.6679585,-3.2285697,88
19.802866,-10.527641,C
-7.9738913,4.4296637,2d
-10.252333,-6.898561,P
0.47064823,15.554101,m82
-11.90675,14.9889555,A1
0.4155233,9.875818,m82
17.022219,-11.387074,C
16.908125,-11.553846,C
2.057153,-2.653217,88
-14.129502,-7.687519,P
0.4299851,10.476274,m82
-3.7533967,-0.2773377,2d
18.735489,-11.989074,C
-11.769266,14.911332,A1
-2.1927488,-2.374725,2d
-4.8847833,7.8621306,A1
5.952273,-0.83599067,2d
-0.059289243,9.695924,m82
14.725413,-14.04576,C
-8.455431,-6.365045,P
6.2367935,-1.3378114,88
17.276379,-9.817436,C
-5.4791846,10.938869,A1
-1.4844478,0.5289307,2d
-7.4302006,8.892565,A1
-3.1392283,10.423366,A1
7.015182,-2.2474923,88
14.587253,-12.180769,C
-12.223577,-8.019672,P
14.958231,-8.547458,88
0.051249374,13.464892,m82
-9.465637,-6.560921,P
1.6632965,12.784971,m82
9.630272,-3.4243078,88
-3.9408333,12.592102,A1
3.9719694,-2.8301082,88
-1.8665364,1.4796631,2d
-10.412666,-6.1495132,P
0.7552167,-1.398221,88
0.6482133,13.513381,m82
-12.924108,-7.93617,P
14.227933,-11.0754795,C
-3.0368254,1.4981416,2d
-1.313543,8.9384,A1
-0.0133015895,1.0213283,m82
0.20123236,-1.958441,2d
-17.761776,-9.034764,P
15.168905,-9.835445,88
16.552965,-7.74066,C
-0.8734029,0.6453166,2d
-16.71033,-9.427552,P
1.6399956,11.839179,m82
-5.1430936,5.3492174,A1
0.732163,14.299163,m82
17.366022,-8.907079,C
16.890322,-7.6643453,C
3.3514397,-2.5825577,88
-16.667976,-8.690847,P
1.2305541,13.303545,m82
1.4726526,-0.7958636,2d
17.244951,-8.2389765,C
-5.793228,8.073892,A1
2.1829073,2.1400673,2d
-10.585145,12.329955,A1
12.943715,-3.5915916,2d
6.137745,13.542088,m82
15.198584,-11.104368,C
-15.653287,-8.337593,P
3.7600484,3.4401305,88
14.710709,-14.801561,C
-5.1517725,10.429859,A1
0.9169356,0.14519888,2d
-4.9365983,13.440854,A1
-8.181715,12.8226595,A1
15.0468855,-1.5954413,88
14.208152,-15.434971,C
-13.501693,-8.1492,P
13.9953,-1.8638096,88
1.8151678,10.815409,m82
-14.493501,-7.326851,P
5.7965183,19.246494,m82
11.880389,-2.704186,88
-8.1096325,10.407383,A1
12.004964,-6.8792844,88
3.0367148,2.6843712,2d
-13.638698,-6.914635,P
1.3163296,-2.1636186,88
3.77796,18.358871,m82
-15.481619,-8.737727,P
14.916348,-11.986576,C
-5.057898,1.2912765,2d
-5.987409,11.629395,A1
1.1788208,15.554053,m82
3.2140458,2.3532364,2d
-15.593149,-9.2030525,P
13.896529,-15.692896,88
15.0128765,-14.444351,C
3.699935,2.793478,2d
-16.688519,-11.686498,P
6.205867,16.026506,m82
-7.8961306,11.667218,A1
2.2978158,13.7304325,m82
17.33201,-10.591482,C
-6.2445107,-0.33749452,C
12.84838,-4.6573625,88
-15.980001,-9.37171,P
5.6683917,18.502674,m82
-1.0263637,0.8395501,2d
15.281612,-14.9925785,C
